Zone,Built_Area_Sqm,Total_Zone_Area_Sqm,Built_Up_Percent
Cumulative Buffer: 0-1 km,1.18124827012245E10,5.351193195515743E10,22.074483707901383
Cumulative Buffer: 0-2 km,1.4977167763804583E10,7.793112398400024E10,19.21846753664106
Multi-ring: 0-1 km,1.18124827012245E10,5.351193195515743E10,22.074483707901383
Multi-ring: 1-3 km,4.0669120790688367E9,3.3736741466810856E10,12.054845554867049
Multi-ring: 3-5 km,3.7094688486725104E8,5.593017029901197E9,6.632321748424999
