Hotspot_Type,Elev_Mean_m,Elev_Median_m,Elev_StdDev_m
Urbanization (Anything to Built),65.25202295647284,56.44134078212291,30.31774270440966
Other Valid Transitions,61.6897787834147,60.42780760357327,21.343274404207865
Hydrological Volatility (Water Shifts),52.42521284964184,46.08507814803893,22.58452630931358
