Hotspot_Type,DistRoad_Mean_m,DistRoad_Median_m,DistRoad_StdDev_m
Urbanization (Anything to Built),828.4917085295975,606.8306804487812,810.5773684671544
Other Valid Transitions,1149.36730192792,797.7707582653034,1160.3111392539074
Hydrological Volatility (Water Shifts),1772.4387542519858,1377.1386461285838,1573.041234025492
