Zone,Built_Area_km2,Total_Zone_Area_km2,Built_Up_Percent
Cumulative Buffer: 0-1 km,1.0412032072207232E4,5.351193195513859E4,19.45740266102913
Cumulative Buffer: 0-2 km,1.3173704352612476E4,7.793112398397002E4,16.904291480926453
Multi-ring: 0-1 km,1.0412032072207232E4,5.351193195513859E4,19.45740266102913
Multi-ring: 1-3 km,3.555808456910131E3,3.373674146679521E4,10.539869300684751
Multi-ring: 3-5 km,3.286056605183487E2,5.593017029901159E3,5.875284462063508
