Zone,Built_Area_km2,Total_Zone_Area_km2,Built_Up_Percent
Cumulative Buffer: 0-1 km,1.1812482701224508E4,5.351193195513859E4,22.07448370790917
Cumulative Buffer: 0-2 km,1.4977167763799019E4,7.793112398397002E4,19.218467536641377
Multi-ring: 0-1 km,1.1812482701224508E4,5.351193195513859E4,22.07448370790917
Multi-ring: 1-3 km,4.0669120790680423E3,3.373674146679521E4,12.054845554870283
Multi-ring: 3-5 km,3.709468848672509E2,5.593017029901159E3,6.632321748425042
